DOM_EDIFIC,OTRAS_ENTR,NOMBRE_EST,NOMB_ABREV,TELEFONO,CORREO_WEB,NIVTIP,DEPFUN,LONGITUDE,LATITUDE,GEOJSON
Asunción 3780,,Inst. Ntra. Sra. de la Misericordia,I. Ntra. Sra. de la Misericordia,4502-5020,,IniCom - PriCom - MedCom,Gestion Privada,-58.5083694170162,-34.5993624805616,"{""type"":""Point"",""coordinates"":[-58.50837,-34.59936]}"
Simbrón 5275,,Inst. San Rafael,Inst. San Rafael,4568-8121,sanrafael@ciudad.com.ar,IniCom - PriCom - MedCom,Gestion Privada,-58.5216181781204,-34.615857057487,"{""type"":""Point"",""coordinates"":[-58.52162,-34.61586]}"
Pedro Morán 4441,,Villa Devoto School,Villa Devoto School,4501-9419/1307,vdevoto@vdevoto.esc.edu.ar,IniCom - PriCom - MedCom,Gestion Privada,-58.5158111783592,-34.6046973196407,"{""type"":""Point"",""coordinates"":[-58.51581,-34.6047]}"
Cnel. Pedro Calderón de la Barca 3056,,Hogar San Rafael,Hogar San Rafael,4568-1100,hogarsanrafael@ciudad.com.ar,IniCom - PriCom - PriAdu,Gestion Privada,-58.5225903087309,-34.6139234343049,"{""type"":""Point"",""coordinates"":[-58.52259,-34.61392]}"
Irigoyen 2150,,Escuela Cristiana Evangelica Argentina,Escuela Cristiana Evangélica Argentina,4641-8173/3957,fecea@ecea.edu.ar,IniCom - PriCom - MedCom,Gestion Privada,-58.5252333026389,-34.6217537383599,"{""type"":""Point"",""coordinates"":[-58.52523,-34.62175]}"
Simbrón 5490,,Inst. Modelo de Enseńanza Privada,I. Modelo de Enseńanza Privada,4568-9261,infoimep@infovia.com.ar,IniCom - PriCom - MedCom,Gestion Privada,-58.5238619186601,-34.6182212930536,"{""type"":""Point"",""coordinates"":[-58.52386,-34.61822]}"
Avda. Álvarez Jonte 4896,,Inst. Argentino Hebreo Marc Chagall,I. Argentino Hebreo Marc Chagall,4639-8872/73,,IniCom - PriCom,Gestion Privada,-58.5068048716645,-34.620426419925,"{""type"":""Point"",""coordinates"":[-58.5068,-34.62043]}"
Tinogasta 5824,,Inst. Juan Amos Comenio,Inst. Juan Amos Comenio,4641-3957/8173,ecea@fecea.edu.ar,SNUCom,Gestion Privada,-58.5258437297611,-34.6215010055853,"{""type"":""Point"",""coordinates"":[-58.52584,-34.6215]}"
Avda. Nazca 3170,,Inst. Glaux,Inst. Glaux,4501-3100 4504-2477,glaux@elsitio.net,IniCom - PriCom - MedCom,Gestion Privada,-58.4911803157251,-34.5998965036641,"{""type"":""Point"",""coordinates"":[-58.49118,-34.5999]}"
Gualeguaychú 3530,,Inst. Cuenta Cuentos,I Cuenta Cuentos,4501-9642,,IniCom,Gestion Privada,-58.512172900201,-34.6033234140855,"{""type"":""Point"",""coordinates"":[-58.51217,-34.60332]}"
Gualeguaychú 3152,,Colegio Evangelico Villa Devoto,Colegio Evangélico Villa Devoto,4501-0880,cevd@cristianet.com.ar,MedCom - SNUCom,Gestion Privada,-58.5094298008089,-34.6063613883272,"{""type"":""Point"",""coordinates"":[-58.50943,-34.60636]}"
Fernández de Enciso 3565,,Escuela del Mirador,Escuela del Mirador,4501-9742,mirador@giga.com.ar,PriCom - MedCom,Gestion Privada,-58.5132919073566,-34.6060000210673,"{""type"":""Point"",""coordinates"":[-58.51329,-34.606]}"
Nogoyá 2620,,Colegio Nuevo Pensar,Colegio Nuevo Pensar,4502-2126,nuevopensar@infovia.com.ar,IniCom - PriCom - MedCom,Gestion Privada,-58.4866841129441,-34.6000212940854,"{""type"":""Point"",""coordinates"":[-58.48668,-34.60002]}"
Pedro Lozano 2730,,Centro Educativo Buenos Aires,Centro Educativo Buenos Aires,4501-2674 4502-9657,,IniCom - PriCom - MedCom,Gestion Privada,-58.4895758615273,-34.5981032680952,"{""type"":""Point"",""coordinates"":[-58.48958,-34.5981]}"
Avda. Salvador María del Carril 5073,,Inst. Cristiano Evangelico Devoto,I Cristiano Evangélico Devoto,4503-0534,asambleacristiana@arnet.com,IniCom - PriCom,Gestion Privada,-58.5262424766306,-34.6080279941534,"{""type"":""Point"",""coordinates"":[-58.52624,-34.60803]}"
Baigorria 3054,,Colegio del Trebol,Colegio del Trébol,4504-4735,giselitareyes@hotmail.com,IniCom - PriCom,Gestion Privada,-58.4906811200076,-34.6036790117633,"{""type"":""Point"",""coordinates"":[-58.49068,-34.60368]}"
Asunción 3178,,Jardin de los Manzanos,Jardín de los Manzanos,4504-4574,,IniCom,Gestion Privada,-58.5003019609461,-34.5943519223433,"{""type"":""Point"",""coordinates"":[-58.5003,-34.59435]}"
Gral. César Díaz 2441,,Lima Limon,Lima Limón,4584-2502,eilimalimon@hotmail.com,IniCom,Gestion Privada,-58.4733161445104,-34.6112846521949,"{""type"":""Point"",""coordinates"":[-58.47332,-34.61128]}"
Avda. Avellaneda 4455,,Inst. Espiritu Santo,I Espíritu Santo,4671-7874,sspsfloresta@yahoo.com.ar,IniCom - PriCom - MedCom,Gestion Privada,-58.4890462887353,-34.6321435052563,"{""type"":""Point"",""coordinates"":[-58.48905,-34.63214]}"
Cuzco 176,,Inst. San Cayetano,Inst. San Cayetano,4641-0082,,IniCom - PriCom - MedCom -SNUCom,Gestion Privada,-58.5280378698935,-34.6378835455389,"{""type"":""Point"",""coordinates"":[-58.52804,-34.63788]}"
Irigoyen 1143,,Inst. Ntra. Sra. del Buen y Perpetuo Socorro,I. Ntra. Sra. del Buen y Perpetuo Socorro,4567-1175 4566-2146,,IniCom - PriCom - MedCom -SNUCom,Gestion Privada,-58.5144981263441,-34.6297817678681,"{""type"":""Point"",""coordinates"":[-58.5145,-34.62978]}"
Avda. Juan B. Justo 7525,,Inst. Angela Copello,I Angela Copello,4671-6530,,IniCom - PriCom - MedCom -MedAdu,Gestion Privada,-58.4954095581225,-34.6296935727287,"{""type"":""Point"",""coordinates"":[-58.49541,-34.62969]}"
Avda. Rivadavia 9441,,Escuela Modelo D. F. Sarmiento,Escuela Modelo D. F. Sarmiento,4683-1620/5579,,IniCom - PriCom - MedCom,Gestion Privada,-58.4971731203415,-34.6369522280625,"{""type"":""Point"",""coordinates"":[-58.49717,-34.63695]}"
Bacacay 4896,,Inst. Santisimo Sacramento,I. Santísimo Sacramento,4671-1277,santisacramento@hotmail.com,IniCom - PriCom - MedCom,Gestion Privada,-58.4953864413868,-34.6346596896255,"{""type"":""Point"",""coordinates"":[-58.49539,-34.63466]}"
Bermúdez 2052,,Inst. San Pedro,Inst. San Pedro,4566-0343,inst_sampedro@ciudad.com.ar,IniCom - PriCom - MedCom -MedAdu,Gestion Privada,-58.5093556376879,-34.6197151735898,"{""type"":""Point"",""coordinates"":[-58.50936,-34.61972]}"
Cervantes 1168,,Inst. San Ramon Nonato,Inst. San Ramon Nonato,4567-8392 4566-8543,,IniCom - PriCom - MedCom,Gestion Privada,-58.5013782435238,-34.6279481958714,"{""type"":""Point"",""coordinates"":[-58.50138,-34.62795]}"
Bacacay 4747,,Inst. Juan Bautista Berthier,Inst. Juan Bautista Berthier,4671-8664,,IniCom - PriCom - MedCom,Gestion Privada,-58.4933170045862,-34.6341633614089,"{""type"":""Point"",""coordinates"":[-58.49332,-34.63416]}"
Moliere 836,,Inst. Santisimo Corazon de Jesus,I. Santísimo Corazón de Jesús,4648-1285,,IniCom - PriCom - MedCom,Gestion Privada,-58.5067998303853,-34.6311011315641,"{""type"":""Point"",""coordinates"":[-58.5068,-34.6311]}"
Benito Juárez 2159,,Inst. San Rafael (nińas),I. San Rafael (nińas),4566-0462,,IniCom - PriCom - MedCom,Gestion Privada,-58.504412828081,-34.6196480598442,"{""type"":""Point"",""coordinates"":[-58.50441,-34.61965]}"
Santo Tomé 5130,,Escuela Cristiana de la Puerta Abierta,Esc. Cristiana de la Puerta Abierta,4566-0552 4568-6667,ecpa@ixtus.com,IniCom - PriCom,Gestion Privada,-58.512506665527,-34.6199699910797,"{""type"":""Point"",""coordinates"":[-58.51251,-34.61997]}"
Arregui 5028,,Valle Grande,Valle Grande,4566-3935,,IniCom - PriCom,Gestion Privada,-58.5101406321665,-34.6195796305915,"{""type"":""Point"",""coordinates"":[-58.51014,-34.61958]}"
Avda. Lope de Vega 80,,Nuevo Sol de Educ. Integral,Nuevo Sol de Educ. Integral,4683-5815,,IniCom,Gestion Privada,-58.4997376269228,-34.6368551638605,"{""type"":""Point"",""coordinates"":[-58.49974,-34.63686]}"
Bahía Blanca 2246,,Colegio Nuevos Ayres,Colegio Nuevos Ayres,4566-5858/4567-8970,,IniCom - PriCom,Gestion Privada,-58.4984107936644,-34.6134466227623,"{""type"":""Point"",""coordinates"":[-58.49841,-34.61345]}"
Fournier 3157,,Inst. Nueva Pompeya,Inst. Nueva Pompeya,4918-0958/8140,,IniCom - PriCom - MedCom,Gestion Privada,-58.4179754085861,-34.6525577815289,"{""type"":""Point"",""coordinates"":[-58.41798,-34.65256]}"
Avda. Tilcara 3178,,Inst. San Antonio de Padua,Inst. San Antonio de Padua,4918-0640,,IniCom - PriCom - MedCom,Gestion Privada,-58.418733063905,-34.6529552731021,"{""type"":""Point"",""coordinates"":[-58.41873,-34.65296]}"
Avda. Lafuente 3242,,Inst. Cristo Obrero,I Cristo Obrero,4919-2430/2441,csjbsas@confar.org.ar,IniCom - PriCom - MedCom -SNUCom,Gestion Privada,-58.4382846308893,-34.6630191497079,"{""type"":""Point"",""coordinates"":[-58.43828,-34.66302]}"
Corrales 3190,,Inst. San Jose,Inst. San José,4918-6523,clsjosea376@ciudad.com.ar,IniCom - PriCom,Gestion Privada,-58.4411313284707,-34.6634737508335,"{""type"":""Point"",""coordinates"":[-58.44113,-34.66347]}"
Portela 2750,,Inst. Ntra. Sra. de Fatima,I. Ntra. Sra. de Fátima,4918-3778,fatimastn@uol.com.ar,IniCom - PriCom - MedCom - PriAdu - MedAdu,Gestion Privada,-58.4468520772508,-34.6588798774999,"{""type"":""Point"",""coordinates"":[-58.44685,-34.65888]}"
Cóndor 2150,,Inst. Ntra. Sra. de Las Gracias,I. Ntra. Sra. de Las Gracias,4918-2570,lasgracias@fullzero.com.ar,IniCom - PriCom - MedCom,Gestion Privada,-58.4290461730953,-34.6575817462345,"{""type"":""Point"",""coordinates"":[-58.42905,-34.65758]}"
Corrales 2527,,Inst. Isaac Bakchellian,I. Isaac Bakchellian,4918-7245,,IniCom - PriCom,Gestion Privada,-58.4347988075148,-34.6578897311829,"{""type"":""Point"",""coordinates"":[-58.4348,-34.65789]}"
Pergamino 2882,,Inst. Ntra. Sra. de Fatima,I. Ntra. Sra. de Fátima,4918-3778,,MedCom,Gestion Privada,-58.4475503326739,-34.6600111442778,"{""type"":""Point"",""coordinates"":[-58.44755,-34.66001]}"
Somellera 1720,,Inst. San Judas Tadeo,Inst. San Judas Tadeo,4922-6897,,IniCom - PriCom - MedCom,Gestion Privada,-58.4361103386464,-34.6439702545501,"{""type"":""Point"",""coordinates"":[-58.43611,-34.64397]}"
Itaquí 2855,,Jardin Maternal San José,Jardín Maternal San José,4919-1867,pouponiere@sinectis.com.ar,IniCom,Gestion Privada,-58.4400455916135,-34.6589875135021,"{""type"":""Point"",""coordinates"":[-58.44005,-34.65899]}"
Avda. Riestra 2860,,Escuela de Arbitros,Escuela de Arbitros,4633-2191 4373-2649,,SNUCom,Gestion Privada,-58.4468878421516,-34.653352047866,"{""type"":""Point"",""coordinates"":[-58.44689,-34.65335]}"
Avda. Emilio Castro 6351,Murguiondo 1029,Inst. San Jose,I San José,4642-3219,sanjosetecnica@advancedsl.com.,IniCom - PriCom - MedCom,Gestion Privada,-58.5112931099264,-34.6498245711817,"{""type"":""Point"",""coordinates"":[-58.51129,-34.64982]}"
Cosquín 4951,,Inst. Sagrada Familia,Inst. Sagrada Familia,4601-1105,safaegb@yahoo.com.ar,IniCom - PriCom - MedCom,Gestion Privada,-58.4740858487219,-34.6874400639809,"{""type"":""Point"",""coordinates"":[-58.47409,-34.68744]}"
Guaminí 1850,,Inst. Maria Ana Mogas,Inst. María Ana Mogas,4687-0890,,IniCom - PriCom - MedCom,Gestion Privada,-58.5146419435754,-34.6583331316786,"{""type"":""Point"",""coordinates"":[-58.51464,-34.65833]}"
Avda. Emilio Castro 7142,,Inst. Ntra. Sra. de Lujan de los Patriotas,I. Ntra.Sra.de Luján de los Patriotas,4687-8069 4654-2315,,IniCom - PriCom - MedCom,Gestion Privada,-58.5184852118668,-34.6535678587601,"{""type"":""Point"",""coordinates"":[-58.51849,-34.65357]}"
Avda. Comandante Luis Piedrabuena 3595,,Inst. Ntra. Sra. de la Paz,I. Ntra. Sra. de la Paz,4602-9300,isnlp@ciudad.com.ar,IniCom - PriCom - MedCom,Gestion Privada,-58.4915789257369,-34.6746118096385,"{""type"":""Point"",""coordinates"":[-58.49158,-34.67461]}"
Pilar 1627,Pilar 1657,Inst. Megly,Inst. Megly,4687-8681,,IniCom - PriCom - MedCom,Gestion Privada,-58.5079809809344,-34.6551233968435,"{""type"":""Point"",""coordinates"":[-58.50798,-34.65512]}"
Ulrico Schmidl 7432,,Inst. San Cosme y San Damian,I. San Cosme y San Damián,4687-8368/7217,,IniCom - PriCom - MedCom -MedAdu,Gestion Privada,-58.5185432985209,-34.6572234219947,"{""type"":""Point"",""coordinates"":[-58.51854,-34.65722]}"
Avda. Comandante Luis Piedrabuena 3848,,Inst. Don Orione,I Don Orione,4601-2723 4602-1819,orionelugano@connt.com.ar,IniCom - PriCom - MedCom,Gestion Privada,-58.4871041693528,-34.678201514491,"{""type"":""Point"",""coordinates"":[-58.4871,-34.6782]}"
Tapalqué 6458,,Escuela Evangelico de Nueva Chicago,Esc. Evangélica de Nueva Chicago,4687-0532,iench@fullzero.com.ar,IniCom - PriCom,Gestion Privada,-58.505386480392,-34.657750273766,"{""type"":""Point"",""coordinates"":[-58.50539,-34.65775]}"
Ventura Bosch 6662,,Inst. Ntra. Sra. de Las Nieves,I. Ntra. Sra. de Las Nieves,4641-4171/2771,,IniCom - PriCom - MedCom -SNUCom,Gestion Privada,-58.5202001809091,-34.6426692789709,"{""type"":""Point"",""coordinates"":[-58.5202,-34.64267]}"
Andalgalá 2264,,Inst. San Felipe Neri,Inst. San Felipe Neri,4687-0685/0713,isfn@ciudad.com.ar,IniCom - PriCom - MedCom,Gestion Privada,-58.5068416653967,-34.6621165062894,"{""type"":""Point"",""coordinates"":[-58.50684,-34.66212]}"
Avda. de los Corrales 7351,,Inst. Madre del Buen Consejo,I. Madre del Buen Consejo,4687-0529/7095,buenconsejo@confar.org.ar,IniCom - PriCom - MedCom,Gestion Privada,-58.5070539529042,-34.6680716002728,"{""type"":""Point"",""coordinates"":[-58.50705,-34.66807]}"
Montiel 3015,,Inst. Leopoldo Marechal,Inst. Leopoldo Marechal,4686-0357/4281,,IniCom - PriCom - MedCom,Gestion Privada,-58.50276353073,-34.6698036043523,"{""type"":""Point"",""coordinates"":[-58.50276,-34.6698]}"
Avda. Comandante Luis Piedrabuena 3595,,Inst. Superior Ntra. Sra. de la Paz,I. Superior Ntra. Sra. de la Paz,4602-9300,nslp@ciudad.com.ar,SNUCom,Gestion Privada,-58.4915789257369,-34.6746118096385,"{""type"":""Point"",""coordinates"":[-58.49158,-34.67461]}"
Murguiondo 1131,,Inst. Dr. Raul Juan Gandini,I Dr Gandini,4687-1619,,IniCom - PriCom,Gestion Privada,-58.5103231538045,-34.6500564725936,"{""type"":""Point"",""coordinates"":[-58.51032,-34.65006]}"
Manuel Artigas 6823,,Inst. Gustavo Adolfo Becquer,Inst. Gustavo Adolfo Becquer,4687-5025,,IniCom - PriCom,Gestion Privada,-58.5098243283235,-34.65628160712,"{""type"":""Point"",""coordinates"":[-58.50982,-34.65628]}"
Tuyutí 6629,,Colegio Argentino Baldomero Fernandez Moreno,Col. Argentino B. Fernandez Moreno,4644-2075,,IniCom - PriCom,Gestion Privada,-58.5194932182217,-34.6443336937106,"{""type"":""Point"",""coordinates"":[-58.51949,-34.64433]}"
Dr. José De La Rosa 5732,,Inst. Naciones Unidas,Inst. Naciones Unidas,4638-0152,,IniCom - PriCom,Gestion Privada,-58.4851370176363,-34.6622563106875,"{""type"":""Point"",""coordinates"":[-58.48514,-34.66226]}"
Cnel. Ramón L. Falcón 4080,,Seminario Internacional Teologico Bautista,Seminario Int. Teológico Bautista,4636-1737 al 41,academica@logos.com.ar,SNUCom,Gestion Privada,-58.4839981771411,-34.6358404783742,"{""type"":""Point"",""coordinates"":[-58.484,-34.63584]}"
Saladillo 5252,,Inst. Obra de la Conservacion de la Fe,I. Obra de la Conservación de la Fe,4601-0498 4602-3169,ocf_terciario@hotmail.com,IniCom - PriCom - MedCom -SNUCom,Gestion Privada,-58.4776047111596,-34.6906906252462,"{""type"":""Point"",""coordinates"":[-58.4776,-34.69069]}"
Murguiondo 4055,Avda. Dellepiane 5730,Inst. Parroquial Canonigo Honorario Mario Fafian Alsina,I. Parr. Canónigo H. Mario Fafián Alsina,4602-6719,institutoalsina@mov.com.ar,IniCom - PriCom,Gestion Privada,-58.4773781022984,-34.6758274805412,"{""type"":""Point"",""coordinates"":[-58.47738,-34.67583]}"
Murguiondo 4458,,Inst. Roberto Arlt,Inst. Roberto Arlt,4601-1252 4602-8238,institutoser@hotmail.com,IniCom - PriCom - MedCom,Gestion Privada,-58.4728549230337,-34.6790097727288,"{""type"":""Point"",""coordinates"":[-58.47285,-34.67901]}"
Avda. Gral. Paz 16234,,Inst. Amanecer,I Amanecer,4605-4797,,IniCom - PriCom - MedCom,Gestion Privada,-58.5260955446792,-34.6549321527064,"{""type"":""Point"",""coordinates"":[-58.5261,-34.65493]}"
Murguiondo 4645,,Inst. ESBA - Villa Lugano,I ESBA - Villa Lugano,4605-2206 4604-0202,esbaluga@elsitio.com,IniCom - PriCom - MedCom - MedAdu - SNUCom,Gestion Privada,-58.4709219285675,-34.6808283895483,"{""type"":""Point"",""coordinates"":[-58.47092,-34.68083]}"
Dr. Tomás Manuel de Anchorena 719,,Inst. Toratenu,Inst. Toratenu,4961-5255/4656,toratenu@tutopia.com,IniCom - PriCom - MedCom,Gestion Privada,-58.4089020492277,-34.6004738720048,"{""type"":""Point"",""coordinates"":[-58.4089,-34.60047]}"
Gallo 1215,,Escuela de Fotografia Creativa,Esc. de Fotografía Creativa,4802-2285 4804-2580,info@escueladefotografiacreati,SNUArt,Gestion Privada,-58.4113703874906,-34.5961052418004,"{""type"":""Point"",""coordinates"":[-58.41137,-34.59611]}"
Jaramillo 2267,Jaramillo 2263,Inst. Portal del Sol Nueve Lunas,I. Portal del Sol Nueve Lunas,4701-9151 4702-7993,,IniCom,Gestion Privada,-58.4673571111805,-34.5472599090807,"{""type"":""Point"",""coordinates"":[-58.46736,-34.54726]}"
Achega 3515,,Inst. Piedra Libre,Inst. Piedra Libre,4572-2637,institutopiedra@tutopia.com,IniEsp - PriEsp - Otras,Gestion Privada,-58.5042919045566,-34.5686744511084,"{""type"":""Point"",""coordinates"":[-58.50429,-34.56867]}"
Esmeralda 969,,Fundacion Centro de Estudios Brasileros,Fund. Centro de Estudios Brasileros,4313-5222/6448/6449,funceb@funceb.org.ar,SNUCom,Gestion Privada,-58.3783361314668,-34.5967960124147,"{""type"":""Point"",""coordinates"":[-58.37834,-34.5968]}"
Sarmiento 2233,,Escuela Tec. y de Capacitacion para Profesionales de Golf,Esc. Tec. y Capac. p/Prof. de Golf,4952-9920,aapg@overnet.com.ar,SNUCom,Gestion Privada,-58.3985201720977,-34.6058134546793,"{""type"":""Point"",""coordinates"":[-58.39852,-34.60581]}"
Bartolomé Mitre 3590,,Inst. Nuestro Tiempo,Inst. Nuestro Tiempo,4865-7666 4867-3745,nuestrotiempo@educ.ar,SNUCom,Gestion Privada,-58.4171780709648,-34.6096442688801,"{""type"":""Point"",""coordinates"":[-58.41718,-34.60964]}"
Venezuela 356,,Inst. Superior Octubre,Inst. Superior Octubre,4342-4361 5354-6600,iso@octubre.org.ar,SNUCom,Gestion Privada,-58.3713734730668,-34.6136912463034,"{""type"":""Point"",""coordinates"":[-58.37137,-34.61369]}"
Quirno 311,,Jardin Modelo Mi Patito,Jardín Modelo Mi Patito,4612-0431,info@caiva.com.ar,IniCom,Gestion Privada,-58.4695205328308,-34.6351513480154,"{""type"":""Point"",""coordinates"":[-58.46952,-34.63515]}"
Camacuá 219,,Inst. Santa Maria Josefa Rossello,I. Sta. María Josefa Rossello,4631-7497,ijrossello@hotmail.com,SNUCom,Gestion Privada,-58.4575589836428,-34.6303070336465,"{""type"":""Point"",""coordinates"":[-58.45756,-34.63031]}"
Caracas 325,,Nueva Escuela de Educacion La Obra,Nueva Escuela de Educ. La Obra,4634-0477,,IniCom - PriCom,Gestion Privada,-58.4621476961728,-34.6253437680585,"{""type"":""Point"",""coordinates"":[-58.46215,-34.62534]}"
Montevideo 968,,Inst. Arg. de Gastronomia,I Arg. de Gastronomía,4816-1414 4811-6670,,SNUCom,Gestion Privada,-58.3898564758289,-34.5976552917111,"{""type"":""Point"",""coordinates"":[-58.38986,-34.59766]}"
Saravia 2335,,Jardin Virgencita de Lujan,Jardín Virgencita de Luján,4683-7723 4635-7284,marcelahandel@hotmail.com,IniCom,Gestion Privada,-58.4759789369941,-34.6591864055853,"{""type"":""Point"",""coordinates"":[-58.47598,-34.65919]}"
Avda. Mcal. Francisco Solano López 3870,,Inst. San Antonio de Devoto,I. San Antonio de Devoto,4501-3500,,IniCom - PriCom,Gestion Privada,-58.5083524869623,-34.6014978714201,"{""type"":""Point"",""coordinates"":[-58.50835,-34.6015]}"
Fray Justo Santa María de Oro 2363,,Inst. Privado Colegio Palermo,Col. Palermo,4775-3341 4777-2935,pacifico@sitio.de,MedCom,Gestion Privada,-58.4255704814957,-34.5808049770614,"{""type"":""Point"",""coordinates"":[-58.42557,-34.5808]}"
Guardia Vieja 4435,,Ineba - Escuela de Salud,INEBA,4867-7759,info.escuela@ineba.net,SNUCom,Gestion Privada,-58.4272568946086,-34.5999536340627,"{""type"":""Point"",""coordinates"":[-58.42726,-34.59995]}"
Paraguay 4171,,Inst. Rio Abierto,Inst. Río Abierto,4833-6889/0813,info@rioabierto.org.ar,SNUCom,Gestion Privada,-58.4207624559506,-34.5871762022251,"{""type"":""Point"",""coordinates"":[-58.42076,-34.58718]}"
Uruguay 412,,Jardin Materno Infantil Colegio de Abogados,Jardín Materno Infantil Colegio de Abogado,4379-8700 int. 2002/247,jardinm@cpacg.org.ar,IniCom,Gestion Privada,-58.3868071323379,-34.6038121261946,"{""type"":""Point"",""coordinates"":[-58.38681,-34.60381]}"
Montevideo 752,Montevideo 756,La Pata Cata,La Pata Cata,4812-4766,,IniCom,Gestion Privada,-58.3897545780706,-34.600073494545,"{""type"":""Point"",""coordinates"":[-58.38975,-34.60007]}"
Aráoz 1027,Araoz 1035,Inst. Juana de Arco,Inst. Juana de Arco,4778-0769,institutojuanadearco@hotmail.com.ar,IniCom - PriCom,Gestion Privada,-58.4301163593976,-34.5956473337331,"{""type"":""Point"",""coordinates"":[-58.43012,-34.59565]}"
Boulonge Sur Mer 626,,Casa de la Educacion,Casa de la Educación,4963-5829,jinujarg770@hotmail.com,PriCom - MedCom,Gestion Privada,-58.4063620134927,-34.6028078698894,"{""type"":""Point"",""coordinates"":[-58.40636,-34.60281]}"
Charlone 573,,Inst. Santa Teresa de los Andes,I. Sta. Teresa de los Andes,4553-8068,lavraruiz@webmail.com.ar,IniCom - PriCom,Gestion Privada,-58.451867768364,-34.5825148941775,"{""type"":""Point"",""coordinates"":[-58.45187,-34.58251]}"
